# O2	N2	Fuel	Temperature (K)
0.000	0.000	1.000	300.0
0.010	0.000	0.990	405.9
0.020	0.000	0.980	496.3
0.030	0.000	0.970	570.1
0.040	0.000	0.960	629.0
0.050	0.000	0.950	674.8
0.060	0.000	0.940	710.0
0.070	0.000	0.930	737.5
0.080	0.000	0.920	759.9
0.090	0.000	0.910	778.9
0.100	0.000	0.900	795.3
0.110	0.000	0.890	809.9
0.120	0.000	0.880	823.0
0.130	0.000	0.870	835.1
0.140	0.000	0.860	846.3
0.150	0.000	0.850	856.7
0.160	0.000	0.840	866.6
0.170	0.000	0.830	876.0
0.180	0.000	0.820	885.0
0.190	0.000	0.810	893.6
0.200	0.000	0.800	902.1
0.210	0.000	0.790	910.3
0.220	0.000	0.780	918.4
0.230	0.000	0.770	926.4
0.240	0.000	0.760	934.3
0.250	0.000	0.750	942.3
0.260	0.000	0.740	950.4
0.270	0.000	0.730	958.6
0.280	0.000	0.720	967.1
0.290	0.000	0.710	975.9
0.300	0.000	0.700	985.3
0.310	0.000	0.690	995.5
0.320	0.000	0.680	1006.8
0.330	0.000	0.670	1019.9
0.340	0.000	0.660	1036.2
0.350	0.000	0.650	1058.6
0.360	0.000	0.640	1096.3
0.370	0.000	0.630	1173.7
0.380	0.000	0.620	1287.7
0.390	0.000	0.610	1408.0
0.400	0.000	0.600	1529.0
0.410	0.000	0.590	1650.1
0.420	0.000	0.580	1771.2
0.430	0.000	0.570	1891.6
0.440	0.000	0.560	2010.3
0.450	0.000	0.550	2126.0
0.460	0.000	0.540	2237.2
0.470	0.000	0.530	2342.1
0.480	0.000	0.520	2439.8
0.490	0.000	0.510	2529.6
0.500	0.000	0.500	2611.3
0.510	0.000	0.490	2685.0
0.520	0.000	0.480	2750.9
0.530	0.000	0.470	2809.2
0.540	0.000	0.460	2859.9
0.550	0.000	0.450	2903.4
0.560	0.000	0.440	2940.0
0.570	0.000	0.430	2970.2
0.580	0.000	0.420	2994.7
0.590	0.000	0.410	3014.1
0.600	0.000	0.400	3029.0
0.610	0.000	0.390	3040.2
0.620	0.000	0.380	3048.1
0.630	0.000	0.370	3053.1
0.640	0.000	0.360	3055.7
0.650	0.000	0.350	3056.1
0.660	0.000	0.340	3054.4
0.670	0.000	0.330	3051.0
0.680	0.000	0.320	3045.9
0.690	0.000	0.310	3039.3
0.700	0.000	0.300	3031.1
0.710	0.000	0.290	3021.5
0.720	0.000	0.280	3010.4
0.730	0.000	0.270	2997.8
0.740	0.000	0.260	2983.7
0.750	0.000	0.250	2967.9
0.760	0.000	0.240	2950.5
0.770	0.000	0.230	2931.1
0.780	0.000	0.220	2909.7
0.790	0.000	0.210	2886.1
0.800	0.000	0.200	2859.8
0.810	0.000	0.190	2830.5
0.820	0.000	0.180	2797.7
0.830	0.000	0.170	2760.8
0.840	0.000	0.160	2718.9
0.850	0.000	0.150	2671.0
0.860	0.000	0.140	2615.5
0.870	0.000	0.130	2550.5
0.880	0.000	0.120	2473.5
