# O2	N2	Fuel	Temperature (K)
0.000	0.000	1.000	3678.0
0.010	0.000	0.990	3689.1
0.020	0.000	0.980	3700.3
0.030	0.000	0.970	3711.6
0.040	0.000	0.960	3723.2
0.050	0.000	0.950	3734.9
0.060	0.000	0.940	3746.9
0.070	0.000	0.930	3759.2
0.080	0.000	0.920	3771.8
0.090	0.000	0.910	3784.7
0.100	0.000	0.900	3798.1
0.110	0.000	0.890	3811.9
0.120	0.000	0.880	3826.2
0.130	0.000	0.870	3841.2
0.140	0.000	0.860	3856.8
0.150	0.000	0.850	3873.3
0.160	0.000	0.840	3890.7
0.170	0.000	0.830	3909.1
0.180	0.000	0.820	3928.9
0.190	0.000	0.810	3950.2
0.200	0.000	0.800	3973.3
0.210	0.000	0.790	3998.7
0.220	0.000	0.780	4027.0
0.230	0.000	0.770	4058.7
0.240	0.000	0.760	4095.0
0.250	0.000	0.750	4137.2
0.260	0.000	0.740	4187.2
0.270	0.000	0.730	4247.7
0.280	0.000	0.720	4322.0
0.290	0.000	0.710	4413.6
0.300	0.000	0.700	4524.5
0.310	0.000	0.690	4651.8
0.320	0.000	0.680	4783.5
0.330	0.000	0.670	4885.2
0.340	0.000	0.660	4898.3
0.350	0.000	0.650	4846.3
0.360	0.000	0.640	4772.4
0.370	0.000	0.630	4689.7
0.380	0.000	0.620	4603.3
0.390	0.000	0.610	4516.3
0.400	0.000	0.600	4431.3
0.410	0.000	0.590	4350.7
0.420	0.000	0.580	4276.1
0.430	0.000	0.570	4208.1
0.440	0.000	0.560	4146.9
0.450	0.000	0.550	4092.1
0.460	0.000	0.540	4043.0
0.470	0.000	0.530	3998.7
0.480	0.000	0.520	3958.6
0.490	0.000	0.510	3922.1
0.500	0.000	0.500	3888.4
0.510	0.000	0.490	3857.3
0.520	0.000	0.480	3828.2
0.530	0.000	0.470	3800.8
0.540	0.000	0.460	3774.9
0.550	0.000	0.450	3750.3
0.560	0.000	0.440	3726.6
0.570	0.000	0.430	3703.9
0.580	0.000	0.420	3681.8
0.590	0.000	0.410	3660.3
0.600	0.000	0.400	3639.3
0.610	0.000	0.390	3618.7
0.620	0.000	0.380	3598.4
0.630	0.000	0.370	3578.2
0.640	0.000	0.360	3558.3
0.650	0.000	0.350	3538.4
0.660	0.000	0.340	3518.4
0.670	0.000	0.330	3498.5
0.680	0.000	0.320	3478.4
0.690	0.000	0.310	3458.0
0.700	0.000	0.300	3437.5
0.710	0.000	0.290	3416.6
0.720	0.000	0.280	3395.2
0.730	0.000	0.270	3373.4
0.740	0.000	0.260	3351.0
0.750	0.000	0.250	3327.9
0.760	0.000	0.240	3304.0
0.770	0.000	0.230	3279.2
0.780	0.000	0.220	3253.3
0.790	0.000	0.210	3226.1
0.800	0.000	0.200	3197.4
0.810	0.000	0.190	3167.0
0.820	0.000	0.180	3134.5
0.830	0.000	0.170	3099.5
0.840	0.000	0.160	3061.6
0.850	0.000	0.150	3020.0
0.860	0.000	0.140	2973.8
0.870	0.000	0.130	2922.0
0.880	0.000	0.120	2862.8
0.890	0.000	0.110	2793.7
0.900	0.000	0.100	2711.4
0.910	0.000	0.090	2610.5
0.920	0.000	0.080	2483.6
